date,total,note_1,note_2,note_5,note_10,note_20,note_50,note_100
1/1/2000,26935.6,148.8,838.9,718.6,2548.1,80.7,12727.6,8195.9
1/2/2000,23847.8,148.3,751.1,658.9,2285.2,80.4,10848.3,7408.1
1/3/2000,22752.9,147.8,666.5,590.5,2093.8,80.1,10464.9,7050.7
1/4/2000,22482.9,147.4,621.1,557.9,2030.4,80,10348.6,7044.3
1/5/2000,22416.4,147.1,591.7,537.7,1997.5,79.6,10375.2,7030.7
1/6/2000,22348.8,146.8,570.7,522.7,1983.8,79.4,10412.7,6974.1
1/7/2000,22367.9,146.5,556.6,512.9,1989.7,79.1,10446.9,6972.7
1/8/2000,22747,146.2,548.7,509.2,2012.5,79.1,10659.4,7119
1/9/2000,22507.7,146,542.2,503.6,2001.4,79,10490.9,7065.4
1/10/2000,22564.5,145.8,539.7,502.7,2017.8,78.9,10499.2,7099.2
1/11/2000,22781.2,219,529.1,501.5,2011.8,78.7,10573.2,7186
1/12/2000,26709.1,396.8,538.6,597.1,2283.5,78.6,13187.7,7940.3
1/1/2001,27431,623.2,515.7,740.6,2616.2,78.4,12799.5,8376.3
1/2/2001,24117.9,540.9,462.3,644.5,2270.6,78.2,10899.3,7557.5
1/3/2001,23719.5,490.2,430,592.5,2148.1,78,10925.1,7404.4
1/4/2001,23591.7,462.5,408,563.1,2101.7,77.7,10939.9,7402.8
1/5/2001,23720.6,449.1,390.7,545.9,2081,77.4,11104.5,7444.5
1/6/2001,23315.9,441.4,377.4,533.8,2068.7,77.3,10887.5,7307.8
1/7/2001,23277.8,438.2,365.4,526.8,2066.1,77,10881,7308.1
1/8/2001,24020.5,442.5,354.7,523.7,2107.8,76.8,11440.1,7460.3
1/9/2001,23922.6,445.2,346,520,2098.2,76.7,11333.4,7489.3
1/10/2001,23797.3,447,337.1,514.1,2085,76.5,11322.8,7402
1/11/2001,24539.9,519.9,330.2,551.7,2173.1,76.4,11785.9,7482.6
1/12/2001,25385.5,607.3,324.7,603.6,2266.4,76.4,12262,7618.4
1/1/2002,27229.2,755.6,314.5,728.5,2587.2,76.3,13069.4,8069.6
1/2/2002,26572.1,728.3,304.7,714.9,2544.1,76.2,12601.8,7979.5
1/3/2002,25593.7,658.1,291.7,644.3,2321.2,76,12288.1,7703.2
1/4/2002,25488.6,618.5,282.3,610.5,2249.1,76,12302.6,7741.1
1/5/2002,25952.7,601.9,275.2,592.8,2233.6,75.8,12731.7,7834.8
1/6/2002,25348.4,590,268.8,577.6,2201.5,75.7,12283.8,7748.4
1/7/2002,25128.9,584.8,262.3,569.3,2197.9,75.7,12123.6,7713.3
1/8/2002,25367.7,584.6,257,565.9,2205.1,75.5,12350.8,7724.4
1/9/2002,25282.3,586.4,252.9,562.4,2199.7,75.5,12288,7711.6
1/10/2002,25571.4,603.7,247.8,563.2,2210.4,75.3,12519,7739.3
1/11/2002,27303.9,770,243.9,633.2,2413.4,75.3,13504.5,8043.9
1/12/2002,27137.4,763.3,240.4,615.6,2345,75.2,13328.2,8143.8
1/1/2003,31927.9,959.5,235.9,714.7,2941,75.1,15930,9439.2
1/2/2003,27485.8,874.4,230.5,664.5,2598.5,75.1,13048.9,8367.1
1/3/2003,27350.6,806,225.9,624.4,2458.7,75,13307.8,8229.8
1/4/2003,27099.3,763.5,221.5,601.3,2387.2,74.9,13235.7,8193.8
1/5/2003,27574.5,743.7,218.5,591.9,2374.4,74.9,13569.5,8379.4
